epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,14566.4,0.39985,1.32751,0.17344,0.28539,1.06235,0.98434,0.98824,0.99471,0.75334,0.975,0.9,0.92509,0.46299,1.16087,2.26104,0.33804,0.45404,2.30169,0.000218,0.000218,0.000218
92,14730.1,0.36421,1.20866,0.16244,0.23996,1.03406,1,0.99401,0.995,0.77232,0.97465,0.94706,0.9609,0.51898,1.08969,2.04233,0.36901,0.4513,2.04683,0.0001982,0.0001982,0.0001982
93,14891.2,0.36081,1.20158,0.16533,0.23569,1.03712,0.99942,1,0.995,0.78772,0.96964,0.93945,0.97129,0.52382,1.08767,2.09997,0.33047,0.42996,2.17379,0.0001784,0.0001784,0.0001784
94,15055.4,0.34347,1.11622,0.13549,0.22336,1.00297,0.99896,1,0.995,0.77554,0.98757,0.93467,0.96584,0.52842,1.10442,2.15631,0.37153,0.44132,2.16197,0.0001586,0.0001586,0.0001586
95,15206.4,0.338,1.06064,0.13978,0.22119,1.00013,0.99909,1,0.995,0.78659,0.98589,0.92941,0.96818,0.5333,1.1105,2.15841,0.34753,0.44027,2.15576,0.0001388,0.0001388,0.0001388
96,15364.2,0.32633,1.02451,0.14131,0.21577,1.0014,0.99958,1,0.995,0.78197,0.95876,0.95882,0.97331,0.5191,1.12308,2.17142,0.34896,0.44976,2.21545,0.000119,0.000119,0.000119
97,15536.2,0.32504,1.01744,0.13383,0.21425,0.99355,0.99958,1,0.995,0.79312,0.97198,0.96471,0.97652,0.54343,1.10876,2.04076,0.3506,0.43798,2.1685,9.92e-05,9.92e-05,9.92e-05
98,15686.6,0.31854,1.02171,0.15002,0.21078,1.00106,0.99964,1,0.995,0.79445,0.96851,0.96471,0.97705,0.54872,1.10154,2.01741,0.32752,0.44248,2.19503,7.94e-05,7.94e-05,7.94e-05
99,15880.3,0.31475,0.97761,0.13111,0.20194,0.9773,0.99956,1,0.995,0.78794,0.97299,0.95882,0.97705,0.54685,1.09979,2.08736,0.34199,0.43646,2.18617,5.96e-05,5.96e-05,5.96e-05
100,16109.5,0.31377,0.98776,0.1323,0.20259,0.98575,0.99909,1,0.995,0.78961,0.97094,0.94706,0.97254,0.56015,1.10832,2.0653,0.33622,0.43365,2.18659,3.98e-05,3.98e-05,3.98e-05
